id,title,likes,comments,shares,saves,views,reach,follows,nonfollower_pct,format
59,تبریک سال نو,271,5,0,2,7440,5304,0,6.1,other
60,اسلایدی معرفی فیلم,169,3,41,91,10522,5905,19,0.9,carousel
61,ارز جدید منصوری,469,352,58,106,37115,17808,18,23.5,reel
62,عیدی امسال سبد پر سود,641,1300,14,43,15011,9826,10,18.3,reel
62b,اعضای بدن یک تریدر حرفه ای,259,14,38,61,15949,8233,1,3.6,reel
63,۸ ارز که نهنگ ها توجه دارن,373,153,83,156,28615,13199,2,19.0,reel
64,دنبال یک ارز ناشناخته,372,404,59,112,31915,14605,20,20.1,reel
65,میخوای قهرمان باشی,216,5,38,64,11622,5382,0,1.2,carousel
66,دارک ترین پرامپت,126,59,23,46,11564,5693,0,20.6,reel
67,میخوای حذف نشی,162,48,32,56,8487,4924,1,0.8,carousel
68,بیت کوین الان بخریم یا نه,656,454,66,111,14539,9499,0,13.0,reel
69,جدیدترین ایردراپ,235,274,30,92,12881,7610,13,26.4,reel
70,مذاکرات ترامپ و ایران,541,390,37,73,31550,18256,1,1.1,carousel
71,سرنوشت بیت کوین ۲۰۲۵,306,349,22,45,23565,11122,2,19.4,reel
72,قطعا باورت نمیشه,510,40,136,68,54295,23212,3,38.5,reel
73,اتریوم در حال سقوط,904,206,99,170,55821,30584,9,5.7,carousel
74,بهترین تصمیم برای سرمایه گذاری,471,28,90,90,64925,23688,4,13.9,reel
75,تتر ریخت,638,11,55,102,41781,22912,1,2.6,carousel
77,پیش بینی هوش مصنوعی از اقتصاد ایران,190,3,2,15,7275,4714,0,12.3,reel
78,۳۵ سالگی,448,82,48,135,24390,12477,0,4.9,carousel
79,بازار دوباره صعودی میشه,351,12,8,41,22799,11172,0,2.7,carousel
80,ریلز ترند,266,14,14,45,31596,13100,3,25.1,reel
81,طلا بالاترین قیمت تاریخ,245,6,9,26,19033,10365,0,2.0,carousel
82,قطعا تو هم نمیدونی,187,46,30,85,14487,6909,2,34.3,reel
83,نگاهت رو به زندگی عوض کن,278,5,80,118,16596,8444,6,31.1,reel
84,با این مسیر,223,70,61,134,15309,7840,1,3.4,carousel
85,هر تریدر باید این راز رو بدونه,328,108,44,66,26787,12064,2,21.7,reel
86,قدرت کندل در بازار,154,11,34,70,7897,5235,1,25.6,reel
87,۸ سایت ممنوعه,1300,342,1700,2000,60488,41205,122,46.8,carousel
88,تاثیرات بیت کوین,278,18,8,25,9130,6182,0,20.1,reel
89,۶ سایت حرفه ای,442,15,478,998,32001,18259,26,53.6,reel
90,تحلیل وضعیت اتریوم,467,439,18,52,27081,12769,0,1.2,carousel
91,قبل از ضرر این کوین ها رو بفروش,411,676,20,51,33082,15770,3,16.5,reel
93,اتریوم یا ریپل,390,283,15,57,20650,10090,7,5.4,carousel
94,جدیدترین ارز برای شکارچیها,262,191,35,99,20921,10600,9,28.0,reel
95,تاثیر طلا روی بیت کوین,290,129,13,43,22004,10914,7,31.2,reel
96,معامله بیشتر یعنی سود بیشتر,279,9,17,40,24558,11284,5,20.6,reel
97,شکار میم کوین,553,115,302,518,22538,13125,6,8.4,carousel
98,سه میم کوین,932,1100,428,675,79464,34323,96,44.4,reel
99,ترید به روش ایلان ماسک,419,431,142,269,17389,9349,70,5.8,carousel
100,کاردانو در حال مرگ,396,378,76,60,35919,14544,9,16.4,reel
101,پرامپت های لو رفته از نهنگ ها,228,90,59,139,11257,10975,0,2.6,carousel
102,هوش مصنوعی تراپیست ترید,115,39,47,47,11725,6287,4,32.7,reel
103,درامد غیرفعال,268,312,53,121,22166,9413,4,19.5,reel
104,تحلیل بیت آقای بیات,846,37,50,69,18071,10979,12,17.2,reel
105,ترید به روش ترامپ,235,67,20,48,14309,7016,23,1.1,carousel
106,۹۹ درصد آدمها نمیدونن,246,11,46,37,43085,17084,4,27.9,reel
107,سندرم باید یه کاری کنیم,145,10,6,26,8167,3860,0,1.3,carousel
108,راز تحلیل در هر تایم فریم,228,8,128,169,11058,6469,6,28.4,reel
110,بهترین ستاپ برای تازه کارها,191,7,16,50,7321,4775,8,30.1,reel
111,خیلی از تریدرها این ستاپ رو بلد نیستن,150,39,10,45,5998,3840,1,18.5,reel
112,تکنولوژی جدید در دنیای ترید,2600,4100,1700,2500,177922,117078,1486,79.2,reel
113,ترید کردن در سال ۲۰۹۹,283,297,55,109,21315,14285,67,40.0,reel
114,رازی که همه تریدرها نمیدونن,3800,1400,3000,6600,359000,163244,1104,88.1,reel
115,چرا مایکرو استراتژی بیت میخره,274,45,8,24,18298,9000,2,2.1,reel
116,ساعت های مهم بازار جهانی,279,128,10,224,17928,9294,14,35.2,reel
117,۹۹ درصد تریدرها نمیدونن,689,138,498,1000,54743,26449,66,59.5,reel
118,تست روانشناسی,93,27,14,29,8090,4505,3,20.9,reel
119,در جنگ چطور تصمیم مالی بگیریم,196,6,11,21,23558,8907,0,2.9,carousel
120,تحلیل تخصصی بیت در ۲ دقیقه,517,53,39,48,14948,9808,10,20.2,reel
121,۸ استراتژی محبوب بازار مالی,390,21,225,318,20800,11026,24,15.2,carousel
122,داستان سقوط اقتصاد آمریکا,155,4,22,38,15011,7373,0,1.8,carousel
123,نظر بزرگان ترید,111,4,6,22,9745,4597,2,1.6,carousel
124,ترامپ اقتصاد آمریکا رو نابود میکنه,277,6,59,54,12531,8380,7,33.0,reel
125,بهترین ابزارهای معاملاتی کریپتو,191,9,129,192,12312,6389,3,9.3,carousel
201,تحلیل بیت 5/4,520,70,41,94,10968,4795,6,21.5,reel
202,۴ ارز سود ده ۲۰۲۵,474,876,77,47,16496,7178,9,16.5,reel
203,تحلیل نات کوین,285,52,19,43,4891,2601,3,8.6,reel
204,اسم ارز رو برام بنویس بررسی کنم,176,210,25,9,7133,7133,2,15.2,reel
205,کتاب تریدرها,244,177,50,123,6279,3510,7,35.6,reel
206,تحلیل بیت 5/16,468,49,50,54,10554,4090,7,1.2,reel
207,بزرگ فکر کن کوچک حرکت کن,235,11,38,63,4219,3607,5,48.6,reel
208,ارسال پرامپت,225,223,11,74,7523,3666,5,24.1,reel
209,۱۰ دلار صرافی,123,101,11,29,4544,2304,4,35.7,reel
210,میم کوین 5/18,364,635,10,44,11467,5664,25,30.5,reel
211,ارزهای ۲۰۲۴,383,61,101,61,22250,7231,14,21.2,reel
212,اصطلاحات ترید,201,13,54,181,12105,4684,12,45.8,reel
213,لیست شدن داگز,139,26,5,5,10178,4267,0,54.2,reel
214,معرفی ایردراپ 5/23,394,172,162,172,50024,18217,83,82.3,reel
215,۱۰ ارز برای سرمایه گذاری,253,20,54,165,14990,4902,9,23.7,reel
216,۱۷ نکته مهم قبل ترید,144,23,4,26,4776,2562,2,51.7,reel
217,میم کوین های معروف,193,52,15,80,14226,5314,6,40.7,reel
218,شروع ترید با ۰ دلار,196,149,17,111,6504,2656,5,11.5,reel
219,کلاهبرداری همستر,427,55,522,47,58340,19366,4,41.2,reel
220,اپلیکیشن تریدرها,121,3,49,162,6587,2950,1,24.6,reel
221,معرفی ارزها 5/31,254,138,28,90,10725,4357,1,24.2,reel
222,معرفی ۳ ارز برای سرمایه گذاری,482,56,152,344,26252,13834,80,69.3,reel
223,معرفی ۱۰ ارز هوش مصنوعی,279,22,70,215,13171,5966,15,28.2,reel
224,۵ میم کوین,186,13,49,132,11582,5169,7,24.7,reel
225,پروژه ایردراپ,106,161,79,21,7273,3067,0,6.9,reel
226,تبدیل به تریدر حرفه ای در ۱۰۰ روز,145,26,18,27,5292,3150,8,57.5,reel
227,معرفی ده ارز,609,1010,53,170,21581,10248,74,33.6,reel
228,میم کوین معرفی 6/10,359,20,143,322,26493,11660,16,42.2,reel
229,دریافت بونوس صرافی,349,235,87,42,8937,5574,2,13.2,reel
230,برداشت داگز,188,18,48,36,9019,5464,1,23.7,reel
